AT0000603709;Agrana Beteiligungs-AG
AT00000AMAG3;AMAG Austria Metall AG
AT0000730007;Andritz AG
AT0000969985;AT&S Austria Technologie & Systemtechnik Aktiengesellschaft
AT0000BAWAG2;BAWAG Group AG
AT00BUWOG001;BUWOG AG
AT0000641352;CA Immobilien Anlagen AG
AT0000818802;DO & CO Aktiengesellschaft
AT0000652011;Erste Group Bank AG
AT0000741053;EVN AG
AT00000FACC2;FACC AG
AT00000VIE62;Flughafen Wien AG
AT0000809058;Immofinanz AG
AT000KAPSCH9;Kapsch TrafficCom AG
AT0000644505;Lenzing AG
AT0000938204;Mayr-Melnhof Karton AG
AT0000743059;OMV AG
AT0000APOST4;Österreichische Post AG
AT0000758305;Palfinger AG
AT0000A00XX9;Polytec Holding AG
AT0000609607;Porr AG
AT0000606306;Raiffeisen Bank International AG
AT0000922554;Rosenbauer International AG
AT0000652250;S Immo AG
AT0000946652;Schoeller-Bleckmann Oilfield Equipment AG
AT0000785555;Semperit AG Holding
AT000000STR1;STRABAG SE
AT0000720008;Telekom Austria AG
AT0000815402;UBM Development AG
AT0000821103;Uniqa Insurance Group AG
FR0004056851;Valneva SE
AT0000746409;Verbund AG
AT0000908504;Vienna Insurance Group AG Wiener Versicherung Gruppe
AT0000937503;voestalpine AG
AT0000827209;Warimpex Finanz- und Beteiligungs AG
AT0000831706;Wienerberger AG
AT0000834007;Wolford AG
AT0000837307;Zumtobel Group AG
AT0000616701;Athos Immobilien AG
CH0328339665;Biovolt AG
AT0000764626;HTI High Tech Industries AG
AT0000A021K7;Hutter & Schrantz Stahlbau AG
AT0000776307;Sanochemia Pharmazeutika AG
AT0000816301;Unternehmens Invest AG
JE00B3DCF752;Atrium European Real Estate Ltd.
AT0000625504;Bank für Tirol und Vorarlberg AG
AT0000625538;Bank für Tirol und Vorarlberg AG
AT0000624705;BKS Bank AG
AT0000624739;BKS Bank AG
AT0000640552;Burgenland Holding AG
AT0000613005;C-Quadrat Investment AG
AT0000A1PY49;CLEEN Energy AG
DE000A2GSWR1;De Raj Group AG
AT0000762406;Frauenthal Holding AG
AT0000A0Z9G3;Gurktaler AG
AT0000A0Z9H1;Gurktaler AG
AT0000690151;Heid Maschinenfabrik AG
AT0000820659;KTM Industries AG
AT0000723606;Linz Textil Holding AG
AT0000728209;Manner Josef & Comp. AG
AT0000625132;Oberbank AG
AT0000625108;Oberbank AG
AT00000OESD0;Österreichische Staatsdruckerei Holding AG
AT0000758008;Ottakringer Getränke AG
AT0000758032;Ottakringer Getränke AG
AT0000800800;Pankl Racing Systems AG
AT0000767306;Rath AG
AT0000797303;Stadlauer Malzfabrik AG
AT0000808209;SW Umwelttechnik Stoiser & Wolschner AG
AT0000824701;Volksbank Vorarlberg e. Gen.
AT0000741301;Wiener Privatbank SE
AT0000824206;AB Effectenbeteiligungen AG
AT0000A17Z86;Asamer Baustoffe AG
AT0000A0K1J1;Autobank AG
AT0000A0KPX9;Betbull Holding SE in Liqu.
SI0031117128;BPG precious metal storage plc.
LU0925745043;CEEREF SA
DE000A0B6NF2;D-W-H Deutsche Werte Holding AG
DE000A2AABY2;Dr. Bock Industries AG
AT0000908157;EAG-Beteiligungs AG
AU000000EUR7;European Lithium Limited
DE000A2DAMG0;Fingroup AG
IM00B5VQMV65;GVC Holdings Plc
AT0000698253;Hutter & Schrantz AG
AT0000A0VKN8;Life Settlement Holding AG
AT0000728050;Management Trust Holding AG
IT0005315038;METI Capital S.p.A.
IT0005272981;MS Biotech S.p.A.
NL0000289783;Robeco Glob Stars Equities Fund
LU0934195610;Robeco Global Total Return Bond Fund
NL0000289817;Rolinco N. V.
DE000RYSE888;Roy Ceramics SE
AT0000630694;S Immo AG
AT0000795737;S Immo AG
GB00BYX60J11;The Just Loans Group Plc
FR0011472943;Valneva SE
DE0005545503;1&1 Drillisch AG
US90130A1016;21ST CENTURY FOX INC.
US90130A2006;21ST CENTURY FOX INC.
US88579Y1010;3M CO.
IT0001233417;A2A SpA
NL0000852564;Aalberts Industries NV
DE0005408116;Aareal Bank AG
ES0111845014;Abertis Infraestructuras SA
NL0011540547;ABN AMRO Group NV
ES0125220311;Acciona SA
FR0000120404;Accor SA
ES0132105018;Acerinox SA
BE0003764785;Ackermans & Van Haaren NV
ES0167050915;ACS Actividades de Construccio SA
US00507V1098;ACTIVISION BLIZZARD INC.
DE000A1EWWW0;adidas AG
DE0005008007;ADLER Real Estate AG
LU1250154413;ADO Properties S.A.
US00724F1012;ADOBE SYSTEMS INC.
DE0005103006;ADVA Optical Networking SE
NL0000303709;Aegon NV
ES0105046009;Aena SA
BE0974264930;Ageas SA/NV
FR0000120073;Air Liquide SA
NL0000235190;Airbus SE
DE000A0WMPJ6;AIXTRON SE
US00971T1016;AKAMAI TECHNOLOGIES INC.
NL0000009132;Akzo Nobel NV
US0153511094;ALEXION PHARMACEUTICALS INC.
DE0008404005;Allianz SE
US02079K1079;ALPHABET INC.
US02079K3059;ALPHABET INC.
DE000A0LD2U1;alstria office REIT-AG
NL0011333752;Altice NV
DE0005093108;AMADEUS FIRE AG
ES0109067019;Amadeus IT Group SA
US0231351067;AMAZON.COM INC.
US02376R1023;AMERICAN AIRLINES GROUP INC.
US0258161092;AMERICAN EXPRESS CO.
US0311621009;AMGEN INC.
AT0000A18XM4;ams AG 
US0326541051;ANALOG DEVICES INC.
BE0974293251;Anheuser-Busch InBev SA/NV
LU0569974404;Aperam S.A.
US0378331005;APPLE INC.
US0382221051;APPLIED MATERIALS INC.
LU1598757687;ArcelorMittal
NL0010273215;ASML Holding NV
IT0000062072;Assicurazioni Generali SpA
IT0003506190;Atlantia SpA
FR0000051732;Atos SE
DE0006766504;Aurubis AG
US0527691069;AUTODESK INC.
US0530151036;AUTOMATIC DATA PROCESSING INC.
FR0000120628;AXA SA
DE0005501357;Axel Springer SE
IT0003261697;Azimut Holding S.p.A.
US0567521085;BAIDU INC.
IT0001031084;Banca Generali SpA
IT0004776628;Banca Mediolanum SpA
IT0005218380;Banco BPM SpA
ES0113860A34;Banco de Sabadell SA
ES0113900J37;Banco Santander SA
ES0113307062;Bankia SA
ES0113679I37;Bankinter SA
DE000BASF111;BASF SE
DE000BAY0017;Bayer AG
DE0005190003;Bayerische Motoren Werke AG
DE0005194062;BayWa AG
ES0113211835;BBVA
DE0005158703;Bechtle AG
DE0005200000;Beiersdorf AG
DE0005232805;Bertrandt AG
DE0005909006;Bilfinger SE
US09062X1037;BIOGEN INC.
US09061G1013;BIOMARIN PHARMACEUTICAL INC.
DE0005227235;Biotest AG
FR0000131104;BNP Paribas SA
US0970231058;BOEING CO.
DE0005493092;Borussia Dortmund GmbH & Co. KGaA
NL0000852580;Boskalis Westminster
FR0000120503;Bouygues SA
IT0000066123;BPER Banca
BE0974268972;bpost S.A.
IT0005252728;Brembo SpA
DE000A1DAHH0;Brenntag AG
SG9999014823;BROADCOM LTD.
IT0001347308;Buzzi Unicem SpA
US12673P1057;CA INC.
ES0140609019;CaixaBank SA
DE0005419105;CANCOM SE
FR0000125338;Capgemini SE
DE0006095003;Capital Stage AG
DE0005313704;Carl Zeiss Meditec AG
FR0000120172;Carrefour SA
US1491231015;CATERPILLAR INC.
DE0007257503;CECONOMY AG
US1510201049;CELGENE CORP.
ES0105066007;Cellnex Telecom SA
US1567821046;CERNER CORP.
DE0005403901;CEWE Stiftung & Co. KGaA
US16119P1084;CHARTER COMMUNICATIONS INC.
IL0010824113;CHECK POINT SOFTWARE TECHNOLOGIES 
US1667641005;CHEVRON CORP.
FR0000125007;Cie de Saint-Gobain
US1729081059;CINTAS CORP.
US17275R1023;CISCO SYSTEMS INC.
US1773761002;CITRIX SYSTEMS INC.
NL0010545661;CNH Industrial NV
BE0003593044;Cofinimmo SA
US1924461023;COGNIZANT TECHNOLOGY SOLUTIONS CORP.
US20030N1019;COMCAST CORP.
DE000CBK1001;Commerzbank AG
DE0005437305;CompuGroup Medical SE
DE0005439004;Continental AG
US22160K1051;COSTCO WHOLESALE CORP.
DE0006062144;Covestro AG
FR0000045072;Credit Agricole SA
US1264081035;CSX CORP.
US22943F1003;CTRIP.COM INTERNATIONAL LTD.
DE0005470306;CTS Eventim AG & Co. KGaA
DE0007100000;Daimler AG
FR0000120644;Danone SA
IT0005252207;Davide Campari-Milano S.p.A.
DE000A2E4K43;Delivery Hero AG
US24906P1093;DENTSPLY SIRONA INC.
DE000A1TNUT7;Deutsche Beteiligungs AG
DE0005810055;Deutsche Börse AG
DE0007480204;Deutsche EuroShop AG
DE0008232125;Deutsche Lufthansa AG
DE0008019001;Deutsche Pfandbriefbank AG
DE0005552004;Deutsche Post AG
DE0005557508;Deutsche Telekom AG
DE000A0HN5C6;Deutsche Wohnen SE
DE0006305006;DEUTZ AG
